,total_profit,algorithm,nbr_func,its,seed,elitism_enum,crossover,selection,popsize,tsize,pmut,zero_prob
0,25900,GA,int_nbr_one_day,10000,0,5,uniform_crossover,tournament_select,100,5,0.01,0.1
1,25860,GA,int_nbr_one_day,10000,0,5,uniform_crossover,tournament_select,100,5,0.01,0.5
2,26044,GA,int_nbr_one_day,10000,0,5,uniform_crossover,tournament_select,100,10,0.01,0.1
3,26066,GA,int_nbr_one_day,10000,0,5,uniform_crossover,tournament_select,100,10,0.01,0.5
4,24445,GA,int_nbr_one_day,10000,0,5,uniform_crossover,tournament_select,100,25,0.01,0.1
5,24445,GA,int_nbr_one_day,10000,0,5,uniform_crossover,tournament_select,100,25,0.01,0.5
6,26817,GA,int_nbr_one_day,10000,0,5,uniform_crossover,tournament_select,100,5,0.05,0.1
7,26857,GA,int_nbr_one_day,10000,0,5,uniform_crossover,tournament_select,100,5,0.05,0.5
8,26514,GA,int_nbr_one_day,10000,0,5,uniform_crossover,tournament_select,100,10,0.05,0.1
9,26531,GA,int_nbr_one_day,10000,0,5,uniform_crossover,tournament_select,100,10,0.05,0.5
10,25397,GA,int_nbr_one_day,10000,0,5,uniform_crossover,tournament_select,100,25,0.05,0.1
11,25604,GA,int_nbr_one_day,10000,0,5,uniform_crossover,tournament_select,100,25,0.05,0.5
12,26390,GA,int_nbr_one_day,10000,0,10,uniform_crossover,tournament_select,100,5,0.01,0.1
13,26395,GA,int_nbr_one_day,10000,0,10,uniform_crossover,tournament_select,100,5,0.01,0.5
14,25958,GA,int_nbr_one_day,10000,0,10,uniform_crossover,tournament_select,100,10,0.01,0.1
15,26012,GA,int_nbr_one_day,10000,0,10,uniform_crossover,tournament_select,100,10,0.01,0.5
16,25208,GA,int_nbr_one_day,10000,0,10,uniform_crossover,tournament_select,100,25,0.01,0.1
17,25208,GA,int_nbr_one_day,10000,0,10,uniform_crossover,tournament_select,100,25,0.01,0.5
18,26481,GA,int_nbr_one_day,10000,0,10,uniform_crossover,tournament_select,100,5,0.05,0.1
19,26278,GA,int_nbr_one_day,10000,0,10,uniform_crossover,tournament_select,100,5,0.05,0.5
20,26299,GA,int_nbr_one_day,10000,0,10,uniform_crossover,tournament_select,100,10,0.05,0.1
21,26043,GA,int_nbr_one_day,10000,0,10,uniform_crossover,tournament_select,100,10,0.05,0.5
22,25429,GA,int_nbr_one_day,10000,0,10,uniform_crossover,tournament_select,100,25,0.05,0.1
23,25415,GA,int_nbr_one_day,10000,0,10,uniform_crossover,tournament_select,100,25,0.05,0.5
24,25928,GA,int_nbr_one_day,10000,0,25,uniform_crossover,tournament_select,100,5,0.01,0.1
25,26040,GA,int_nbr_one_day,10000,0,25,uniform_crossover,tournament_select,100,5,0.01,0.5
