,total_profit,algorithm,nbr_func,its,seed,zero_prob
0,31054,HC,int_nbr_every_day,10000,0,0.1
1,25757,HC,int_nbr_every_day,10000,0,0.2
2,20348,HC,int_nbr_every_day,10000,0,0.5
3,32273,HC,int_nbr_every_day,50000,0,0.1
4,29064,HC,int_nbr_every_day,50000,0,0.2
5,21822,HC,int_nbr_every_day,50000,0,0.5
6,27743,HC,int_nbr_every_day,10000,1,0.1
7,26167,HC,int_nbr_every_day,10000,1,0.2
8,18903,HC,int_nbr_every_day,10000,1,0.5
9,29535,HC,int_nbr_every_day,50000,1,0.1
10,29057,HC,int_nbr_every_day,50000,1,0.2
11,20542,HC,int_nbr_every_day,50000,1,0.5
12,30289,HC,int_nbr_every_day,10000,2,0.1
13,27140,HC,int_nbr_every_day,10000,2,0.2
14,18604,HC,int_nbr_every_day,10000,2,0.5
15,32097,HC,int_nbr_every_day,50000,2,0.1
16,29731,HC,int_nbr_every_day,50000,2,0.2
17,20034,HC,int_nbr_every_day,50000,2,0.5
18,30814,HC,int_nbr_every_day,10000,3,0.1
19,25756,HC,int_nbr_every_day,10000,3,0.2
20,19062,HC,int_nbr_every_day,10000,3,0.5
21,32225,HC,int_nbr_every_day,50000,3,0.1
22,27908,HC,int_nbr_every_day,50000,3,0.2
23,20323,HC,int_nbr_every_day,50000,3,0.5
24,30337,HC,int_nbr_every_day,10000,4,0.1
25,25804,HC,int_nbr_every_day,10000,4,0.2
26,19510,HC,int_nbr_every_day,10000,4,0.5
27,31608,HC,int_nbr_every_day,50000,4,0.1
28,28776,HC,int_nbr_every_day,50000,4,0.2
29,20264,HC,int_nbr_every_day,50000,4,0.5
30,31963,HC,int_nbr_one_day,10000,0,0.1
31,31963,HC,int_nbr_one_day,10000,0,0.2
32,31963,HC,int_nbr_one_day,10000,0,0.5
33,32433,HC,int_nbr_one_day,50000,0,0.1
34,32433,HC,int_nbr_one_day,50000,0,0.2
35,32433,HC,int_nbr_one_day,50000,0,0.5
36,30298,HC,int_nbr_one_day,10000,1,0.1
37,30298,HC,int_nbr_one_day,10000,1,0.2
38,30298,HC,int_nbr_one_day,10000,1,0.5
39,31610,HC,int_nbr_one_day,50000,1,0.1
40,31610,HC,int_nbr_one_day,50000,1,0.2
41,31610,HC,int_nbr_one_day,50000,1,0.5
42,31778,HC,int_nbr_one_day,10000,2,0.1
43,31778,HC,int_nbr_one_day,10000,2,0.2
44,31778,HC,int_nbr_one_day,10000,2,0.5
45,32365,HC,int_nbr_one_day,50000,2,0.1
46,32365,HC,int_nbr_one_day,50000,2,0.2
47,32365,HC,int_nbr_one_day,50000,2,0.5
48,31512,HC,int_nbr_one_day,10000,3,0.1
49,31512,HC,int_nbr_one_day,10000,3,0.2
50,31512,HC,int_nbr_one_day,10000,3,0.5
51,32341,HC,int_nbr_one_day,50000,3,0.1
52,32341,HC,int_nbr_one_day,50000,3,0.2
53,32341,HC,int_nbr_one_day,50000,3,0.5
54,31804,HC,int_nbr_one_day,10000,4,0.1
55,31804,HC,int_nbr_one_day,10000,4,0.2
56,31804,HC,int_nbr_one_day,10000,4,0.5
57,32673,HC,int_nbr_one_day,50000,4,0.1
58,32673,HC,int_nbr_one_day,50000,4,0.2
59,32673,HC,int_nbr_one_day,50000,4,0.5
60,26506,HC,int_nbr_both_dc_everyday,10000,0,0.1
61,20848,HC,int_nbr_both_dc_everyday,10000,0,0.2
62,13134,HC,int_nbr_both_dc_everyday,10000,0,0.5
