,total_profit,algorithm,nbr_func,its,seed,temperature,alpha,zero_prob
0,29320,SA,bin_nbr_one_flip,10000,0,100,0.99,0.5
1,28045,SA,bin_nbr_one_flip,10000,0,100,0.999,0.5
2,29397,SA,bin_nbr_one_flip,10000,0,500,0.99,0.5
3,22588,SA,bin_nbr_one_flip,10000,0,500,0.999,0.5
4,29102,SA,bin_nbr_one_flip,10000,0,1000,0.99,0.5
5,15171,SA,bin_nbr_one_flip,10000,0,1000,0.999,0.5
6,27112,SA,bin_nbr_one_flip,10000,0,2500,0.99,0.5
7,8758,SA,bin_nbr_one_flip,10000,0,2500,0.999,0.5
8,30209,SA,bin_nbr_one_flip,50000,0,100,0.99,0.5
9,30392,SA,bin_nbr_one_flip,50000,0,100,0.999,0.5
10,30429,SA,bin_nbr_one_flip,50000,0,500,0.99,0.5
11,29487,SA,bin_nbr_one_flip,50000,0,500,0.999,0.5
12,30456,SA,bin_nbr_one_flip,50000,0,1000,0.99,0.5
13,26933,SA,bin_nbr_one_flip,50000,0,1000,0.999,0.5
14,28518,SA,bin_nbr_one_flip,50000,0,2500,0.99,0.5
15,25962,SA,bin_nbr_one_flip,50000,0,2500,0.999,0.5
16,29917,SA,bin_nbr_one_flip,10000,1,100,0.99,0.5
17,28650,SA,bin_nbr_one_flip,10000,1,100,0.999,0.5
18,29722,SA,bin_nbr_one_flip,10000,1,500,0.99,0.5
19,23011,SA,bin_nbr_one_flip,10000,1,500,0.999,0.5
20,28751,SA,bin_nbr_one_flip,10000,1,1000,0.99,0.5
21,18115,SA,bin_nbr_one_flip,10000,1,1000,0.999,0.5
22,28258,SA,bin_nbr_one_flip,10000,1,2500,0.99,0.5
23,14823,SA,bin_nbr_one_flip,10000,1,2500,0.999,0.5
24,30405,SA,bin_nbr_one_flip,50000,1,100,0.99,0.5
25,30733,SA,bin_nbr_one_flip,50000,1,100,0.999,0.5
26,31150,SA,bin_nbr_one_flip,50000,1,500,0.99,0.5
27,29329,SA,bin_nbr_one_flip,50000,1,500,0.999,0.5
28,29557,SA,bin_nbr_one_flip,50000,1,1000,0.99,0.5
29,28352,SA,bin_nbr_one_flip,50000,1,1000,0.999,0.5
30,29007,SA,bin_nbr_one_flip,50000,1,2500,0.99,0.5
31,23277,SA,bin_nbr_one_flip,50000,1,2500,0.999,0.5
32,30896,SA,bin_nbr_one_flip,10000,2,100,0.99,0.5
33,29828,SA,bin_nbr_one_flip,10000,2,100,0.999,0.5
34,29523,SA,bin_nbr_one_flip,10000,2,500,0.99,0.5
35,20426,SA,bin_nbr_one_flip,10000,2,500,0.999,0.5
36,30156,SA,bin_nbr_one_flip,10000,2,1000,0.99,0.5
37,15679,SA,bin_nbr_one_flip,10000,2,1000,0.999,0.5
38,29382,SA,bin_nbr_one_flip,10000,2,2500,0.99,0.5
39,6771,SA,bin_nbr_one_flip,10000,2,2500,0.999,0.5
40,32096,SA,bin_nbr_one_flip,50000,2,100,0.99,0.5
41,32035,SA,bin_nbr_one_flip,50000,2,100,0.999,0.5
42,30887,SA,bin_nbr_one_flip,50000,2,500,0.99,0.5
43,28692,SA,bin_nbr_one_flip,50000,2,500,0.999,0.5
44,31463,SA,bin_nbr_one_flip,50000,2,1000,0.99,0.5
45,25121,SA,bin_nbr_one_flip,50000,2,1000,0.999,0.5
46,31002,SA,bin_nbr_one_flip,50000,2,2500,0.99,0.5
47,23643,SA,bin_nbr_one_flip,50000,2,2500,0.999,0.5
48,31220,SA,bin_nbr_one_flip,10000,3,100,0.99,0.5
49,30036,SA,bin_nbr_one_flip,10000,3,100,0.999,0.5
50,31086,SA,bin_nbr_one_flip,10000,3,500,0.99,0.5
51,23254,SA,bin_nbr_one_flip,10000,3,500,0.999,0.5
52,30434,SA,bin_nbr_one_flip,10000,3,1000,0.99,0.5
53,20236,SA,bin_nbr_one_flip,10000,3,1000,0.999,0.5
54,27385,SA,bin_nbr_one_flip,10000,3,2500,0.99,0.5
55,14152,SA,bin_nbr_one_flip,10000,3,2500,0.999,0.5
56,31553,SA,bin_nbr_one_flip,50000,3,100,0.99,0.5
57,31918,SA,bin_nbr_one_flip,50000,3,100,0.999,0.5
58,31612,SA,bin_nbr_one_flip,50000,3,500,0.99,0.5
59,29923,SA,bin_nbr_one_flip,50000,3,500,0.999,0.5
60,31942,SA,bin_nbr_one_flip,50000,3,1000,0.99,0.5
